Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Sale,Previous_owners,Additions
نيسان باترول,2003,84000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4500,56000,8,إمكانية التقسيط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فورد ترانزيت,2005,75000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,7+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
بيجو 206+,2012,39000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سكودا فابيا,2016,73000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فيات 1998,1998,30000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,إمكانية التقسيط,للبيع أو التبديل,4,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
سكودا فابيا,2012,55000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,,نقدا فقط,للبيع فقط,,"مُكيّف,مسجل,جنطات مغنيسيوم"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
كيا برايد,2014,66000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,79000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بيجو بارتنر,2011,55000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,000,,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
فولكسفاجن كادي,2014,100000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150 الف,6+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,مسجل"
هوندا اكورد,1997,2600,ذهبي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1800,210000,4+١,نقدا فقط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل اسكونا,1967,1800,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,1,4+1,إمكانية التقسيط,للبيع فقط,2,"مسجل,جنطات مغنيسيوم"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي سانتافيه,2008,77000,أزرق سماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,20000,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي الانترا,1999,20000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000000000000,4+1,نقدا فقط,للبيع فقط,ثالثة,"إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي i30,2010,61000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,113000,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فورد فيستا,2014,47000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,33000,4+1,نقدا فقط,للتبديل فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
هونداي توسان,2014,93000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا رابيد,2014,71000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,غير منمر استيراد الماني,"مُكيّف,جهاز إنذار,مسجل"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي i40,2011,110000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2014,90000,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم"
كيا فورتي,2011,67000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,"122,000",4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
اوبل كاديت,1982,17500,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,00000000000000,4+1,نقدا فقط,للبيع فقط,00,"إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم"
هونداي اكسنت,2016,67000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,22000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن بولو,2012,60000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
فولكسفاجن كادي,2011,95000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
دايو لانوس,1999,30000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,,4+1,نقدا فقط,للبيع فقط,3,
فولكسفاجن كادي,2012,115000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,6+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي توسان,2014,109000,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,29000,4+1,إمكانية التقسيط,للبيع أو التبديل,غير منمرة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
هونداي افانتي,2006,42000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123457,,إمكانية التقسيط,للبيع أو التبديل,2,
فولكسفاجن توران,2011,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٢٥٠٠٠٠,٧,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
شفروليه اوبترا,2006,32500,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,3,"إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
اوبل كورسا,2003,33500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,122000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن توران,2012,97000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي توسان,2010,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فورد فيستا,2012,45000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,78000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
دايو رايسر,1996,21000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,00000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
رينو R9,1983,11000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,,إمكانية التقسيط,للبيع أو التبديل,,"مسجل,جنطات مغنيسيوم,فرش جلد"
فورد ترانزيت,2000,45000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,"7,+ 1",نقدا فقط,للبيع أو التبديل,,"مسجل,وسادة حماية هوائية"
مرسيدس فيتو,1999,20000,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل كورسا,2015,56500,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,22000,5+1,نقدا فقط,للبيع فقط,أولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
جييب شيروكي,2003,85000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,130000,4+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
رينو R9,1982,10000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1235,,,نقدا فقط,للبيع فقط,٨,
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
اوبل كورسا,2013,51900,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن كرافيل,2008,75000,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7:1,نقدا فقط,للبيع فقط,يد اولا,"مُكيّف,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
هونداي جيتس,2007,40000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,900000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2015,113000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,7,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن بولو,1997,25000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000,4+1,نقدا فقط,للبيع أو التبديل,يد ثالثة,"إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن جولف,2007,60000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع فقط,ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم"
فولكسفاجن جولف,2012,100000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2001,37000,أخضر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,_,4+1,نقدا فقط,للبيع فقط,يد سادسة,"مُكيّف,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
فولكسفاجن باسات,2010,85000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,190,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن ترانسبورتر,1999,37000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,,1+7,إمكانية التقسيط,للبيع أو التبديل,,"مسجل,فرش جلد"
اوبل كاديت,1986,23000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
بيجو بارتنر,2012,69000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,-,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,مسجل,فرش جلد,وسادة حماية هوائية"
اوبل كاديت,1984,13000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,184000,4+1,نقدا فقط,للبيع فقط,5,"إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
اوبل اسكونا,1984,6000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,200,5+1,نقدا فقط,للبيع فقط,5,"جنطات مغنيسيوم,فرش جلد"
اوبل زافيرا,2004,45000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا سوبيرب,2014,123999,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
كيا بيكانتو,2015,59000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,4+1,إمكانية التقسيط,للبيع أو التبديل,اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن بولو,2015,84000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فورد فوكس,2002,5500,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,295000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف,إغلاق مركزي,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن كادي,2015,108000,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
دايو نوبيرا,1997,22000,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,143212,4+1,إمكانية التقسيط,للبيع أو التبديل,9,"مُكيّف,إغلاق مركزي,مسجل"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
بي ام دبليو X3,2014,215000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فورد فيستا,2013,67000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,71,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
شفروليه افيو,2009,45000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,160000,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
هونداي توسان,2006,55000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
دراجة نارية دراجه سييم,2016,11500,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,4000,,إمكانية التقسيط,للبيع أو التبديل,0,
فولكسفاجن جولف,1982,4000,خمري,بنزين,تأجير,فلسطينية,عادي,الكتروني,1300,,,نقدا فقط,للبيع فقط,,
هونداي توسان,2008,66000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,121000,5+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي اكسنت,2015,68000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,9900,,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سكودا اوكتافيا,2016,95000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,56000,4+1,إمكانية التقسيط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
رينو R9,1983,7000,كحلي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,4+1,إمكانية التقسيط,للبيع فقط,,
بيجو بارتنر,2011,57000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٦٠,٤+١,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
بيجو 305,1984,7500,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,00000,4+1,نقدا فقط,للبيع فقط,0000,"مسجل,فرش جلد"
ستروين كسارا,2000,1900,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,0000,5+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
هونداي كليك,2007,42000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80 الف,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
بي ام دبليو 520,1994,25000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000,4+1,إمكانية التقسيط,للبيع فقط,5,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي i25,2014,60000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60,4+١,نقدا فقط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بيجو 307,2007,38500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,5,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي i30,2008,55000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,124000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن CC,2010,87000,أبيض عاجي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,120000قابل لزيادة,5+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سورينتو,2013,120000,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,100000,6+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد"
دايو ماتيز,2002,22000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,90000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
مرسيدس 220,1997,30000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,220,,١+٤,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
